Category,Product Name,Final Price,Original Price,Discount,Image URL
snacks,Scan Jumbo Peanut 35g,Rs 150.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic3810.jpg
snacks,Lays Classic Salted 48g,Rs 275.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125901.jpg
snacks,Rancrisp Potato Chips Bbq 60g,Rs 330.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121843.jpg
snacks,Mr. Pop Spicy Net 30g,Rs 68.00 / Unit,Rs 80.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118137.jpg
snacks,Rancrisp Potato Chips Cheese & Onion 60g,Rs 330.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic113652.jpg
snacks,Tong Garden Coated Peanuts Bbq Flv 45g,Rs 365.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121395.jpg
snacks,Uswatte Tipi Tip Green Onion 10g,Rs 60.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic62996.jpg
snacks,Uswatte Chirpy Chips Hot & Spicy 73g,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Kettle Studio Mature Cheddar & Red Onions 56G,Rs 380.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126181.jpg
snacks,Munchee Kome Bites Sweet Masala Flavour 15g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Munchee Kome Bites Savory Onion Flavour 15g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Munchee Kome Bites Flaming Bbq Flv 15g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Munchee Kome Bites Hot Chili Flavour 15g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Tong Garden Sunflower Seeds Salted 30g,Rs 295.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121394.jpg
snacks,Rancrisp Potato Chips Hot & Spicy 60g,Rs 330.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic113651.jpg
snacks,Rancrisp Cassava Chips Hot & Spicy 100g,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic110631.jpg
snacks,Keells Cheese Snacks 50g,Rs 179.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118832.jpg
snacks,Mr.Pop Classic 10g,Rs 42.00 / Unit,Rs 50.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic98730.jpg
snacks,Uswatte Tipi Tip Onion Stars 50G+5g,Rs 200.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic102153.jpg
snacks,Cbl Ramba Tetos Tomato 20g,Rs 85.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic115573.jpg
snacks,Keells Pistachios Roasted & Salted 100g,"Rs 1,225.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119467.jpg
snacks,Munchee Kome Rice Crackers Bbq 90g,Rs 240.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic109269.jpg
snacks,Munchee Kome Rice Crackers Cheese Chillie 90G,Rs 240.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic109270.jpg
snacks,Noas Hot Bites 150g,Rs 520.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic1263.jpg
snacks,Noas Devilled Mixture 200g,Rs 450.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic10995.jpg
snacks,Black & Gold Devilled Peanuts 100g,Rs 315.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic17851.jpg
snacks,Black & Gold Salted Dhal 100g,Rs 195.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic17989.jpg
snacks,M.C.M. Chillie Pakada 250g,"Rs 1,005.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic7625.jpg
snacks,Mr.Pop Onion Rings 25g,Rs 68.00 / Unit,Rs 80.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118138.jpg
snacks,Mr. Pop Potato Cracker 50g,Rs 331.00 / Unit,Rs 390.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118139.jpg
snacks,Tong Garden Coated Peanuts Chicken 45g,Rs 365.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121396.jpg
snacks,Smak Cassava Chips Barbecue 100g,Rs 325.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic122257.jpg
snacks,4700Bc Salted Butter Classic Popcorn 30g,Rs 360.00 / Unit,Rs 400.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic122387.jpg
snacks,Tetos-Savoury Tomato 60g,Rs 225.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120721.jpg
snacks,Tetos-Savoury Bbq 60g,Rs 225.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120722.jpg
